"Date.Time","Year","Month","Day","Time","Temp"
"2003-01-12 18:00",2003,1,12,"18:00",-5.4
"2003-01-12 19:00",2003,1,12,"19:00",-5.4
"2003-01-12 20:00",2003,1,12,"20:00",-5.2
"2003-01-12 21:00",2003,1,12,"21:00",-4.6
"2003-01-12 22:00",2003,1,12,"22:00",-4.3
"2003-01-12 23:00",2003,1,12,"23:00",-4.3
"2003-01-13 00:00",2003,1,13,"00:00",-4.7
"2003-01-13 01:00",2003,1,13,"01:00",-4.7
"2003-01-13 02:00",2003,1,13,"02:00",-4.5
"2003-01-13 03:00",2003,1,13,"03:00",-3.9
"2003-01-13 04:00",2003,1,13,"04:00",-3.4
"2003-01-13 05:00",2003,1,13,"05:00",-3.3
"2003-01-13 06:00",2003,1,13,"06:00",-3.5
"2003-01-13 07:00",2003,1,13,"07:00",-3.7
"2003-01-13 08:00",2003,1,13,"08:00",-5.1
"2003-01-13 09:00",2003,1,13,"09:00",-5.7
"2003-01-13 10:00",2003,1,13,"10:00",-5.6
"2003-01-13 11:00",2003,1,13,"11:00",-5.5
"2003-01-13 12:00",2003,1,13,"12:00",-5.9
"2003-01-13 13:00",2003,1,13,"13:00",-5.9
"2003-01-13 14:00",2003,1,13,"14:00",-6.2
"2003-01-13 15:00",2003,1,13,"15:00",-7.3
"2003-01-13 16:00",2003,1,13,"16:00",-7.6
"2003-01-13 17:00",2003,1,13,"17:00",-8.2
"2003-01-13 18:00",2003,1,13,"18:00",-8.3
"2003-01-13 19:00",2003,1,13,"19:00",-8.6
"2003-01-13 20:00",2003,1,13,"20:00",-8.8
"2003-01-13 21:00",2003,1,13,"21:00",-8.7
"2003-01-13 22:00",2003,1,13,"22:00",-8.5
"2003-01-13 23:00",2003,1,13,"23:00",-8.3
"2003-01-14 00:00",2003,1,14,"00:00",-8.3
"2003-01-14 01:00",2003,1,14,"01:00",-8.4
"2003-01-14 02:00",2003,1,14,"02:00",-8.4
"2003-01-14 03:00",2003,1,14,"03:00",-8.5
"2003-01-14 04:00",2003,1,14,"04:00",-8.6
"2003-01-14 05:00",2003,1,14,"05:00",-9.1
"2003-01-14 06:00",2003,1,14,"06:00",-10.6
"2003-01-14 07:00",2003,1,14,"07:00",-11.8
"2003-01-14 08:00",2003,1,14,"08:00",-13
"2003-01-14 09:00",2003,1,14,"09:00",-10
"2003-01-14 10:00",2003,1,14,"10:00",-10.8
"2003-01-14 11:00",2003,1,14,"11:00",-10.7
"2003-01-14 12:00",2003,1,14,"12:00",-10
"2003-01-14 13:00",2003,1,14,"13:00",-8.2
"2003-01-14 14:00",2003,1,14,"14:00",-6.8
"2003-01-14 15:00",2003,1,14,"15:00",-7
"2003-01-14 16:00",2003,1,14,"16:00",-6.6
"2003-01-14 17:00",2003,1,14,"17:00",-6.5
"2003-01-14 18:00",2003,1,14,"18:00",-6.5
"2003-01-14 19:00",2003,1,14,"19:00",-6.6
"2003-01-14 20:00",2003,1,14,"20:00",-6.8
